spot_symbol,spot_order_book_id,future_symbol,future_order_book_id,expiration_date
AEFES.E,70736,F_AEFES0426,726096,20260430
AKBNK.E,70796,F_AKBNK0426,19928204,20260430
AKSEN.E,71016,F_AKSEN0426,791912,20260430
ALARK.E,71076,F_ALARK0426,6100388,20260430
ARCLK.E,71376,F_ARCLK0426,9311952,20260430
ASELS.E,71536,F_ASELS0426,5117808,20260430
ASTOR.E,71566,F_ASTOR0426,923534,20260430
BIMAS.E,72076,F_BIMAS0426,8591756,20260430
BRSAN.E,72376,F_BRSAN0426,924344,20260430
CIMSA.E,72636,F_CIMSA0426,924604,20260430
DOAS.E,73196,F_DOAS0426,990700,20260430
EKGYO.E,73616,F_EKGYO0426,13442960,20260430
ENKAI.E,73716,F_ENKAI0426,12853236,20260430
EREGL.E,73776,F_EREGL0426,15736880,20260430
FROTO.E,74156,F_FROTO0426,12525996,20260430
GARAN.E,74196,F_GARAN0426,8462804,20260430
GUBRF.E,74736,F_GUBRF0426,992240,20260430
HALKB.E,74776,F_HALKB0426,16786456,20260430
HEKTS.E,74836,F_HEKTS0426,730196,20260430
ISCTR.E,75236,F_ISCTR0426,16459236,20260430
KCHOL.E,75656,F_KCHOL0426,16721800,20260430
KRDMD.E,76036,F_KRDMD0426,6105348,20260430
MGROS.E,76576,F_MGROS0426,600864,20260430
OYAKC.E,77046,F_OYAKC0426,1518838,20260430
PETKM.E,77236,F_PETKM0426,8400308,20260430
PGSUS.E,77276,F_PGSUS0426,11349468,20260430
SAHOL.E,77676,F_SAHOL0426,3551084,20260430
SASA.E,77796,F_SASA0426,536548,20260430
SISE.E,77956,F_SISE0426,15151236,20260430
TAVHL.E,78256,F_TAVHL0426,11481520,20260430
TCELL.E,78296,F_TCELL0426,9384408,20260430
THYAO.E,78436,F_THYAO0426,9777764,20260430
TOASO.E,78576,F_TOASO0426,8794864,20260430
TRALT.E,78591,F_TRALT0426,1323775,20260430
TRMET.E,78646,F_TRMET0426,1127222,20260430
TSKB.E,78696,F_TSKB0426,930664,20260430
TTKOM.E,78736,F_TTKOM0426,7943056,20260430
TUPRS.E,78816,F_TUPRS0426,7549920,20260430
ULKER.E,78876,F_ULKER0426,996380,20260430
VAKBN.E,79056,F_VAKBN0426,10433744,20260430
YKBNK.E,79496,F_YKBNK0426,8009352,20260430
