spot_symbol,spot_order_book_id,future_symbol,future_order_book_id,expiration_date
AKBNK.E,70796,F_AKBNK0426,19928204,20260430
ASELS.E,71536,F_ASELS0426,5117808,20260430
BIMAS.E,72076,F_BIMAS0426,8591756,20260430
EREGL.E,73776,F_EREGL0426,15736880,20260430
GARAN.E,74196,F_GARAN0426,8462804,20260430
ISCTR.E,75236,F_ISCTR0426,16459236,20260430
KCHOL.E,75656,F_KCHOL0426,16721800,20260430
SISE.E,77956,F_SISE0426,15151236,20260430
THYAO.E,78436,F_THYAO0426,9777764,20260430
TUPRS.E,78816,F_TUPRS0426,7549920,20260430
